Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
34.10,0.703569,0.793368,1.390434
34.15,0.703569,0.793368,1.390434
34.20,0.703569,0.793368,1.390434
34.25,0.703569,0.793368,1.390434
34.30,0.703569,0.793368,1.390434
34.35,0.703569,0.793368,1.390434
34.40,0.703569,0.793368,1.390434
34.45,0.703569,0.793368,1.390434
34.50,0.703569,0.793368,1.390434
34.55,0.703569,0.793368,1.390434
34.60,0.703569,0.793368,1.390434
34.65,0.703569,0.793368,1.390434
34.70,0.703569,0.793368,1.390434
34.75,0.703569,0.793368,1.390434
34.80,0.703569,0.793368,1.390434
34.85,0.703569,0.793368,1.390434
34.90,0.703569,0.793368,1.390434
34.95,0.703569,0.793368,1.390434
35.00,0.703569,0.793368,1.390434
35.05,0.703569,0.793368,1.390434
35.10,0.703569,0.793368,1.390434
35.15,0.703569,0.793368,1.390434
35.20,0.703569,0.793368,1.390434
35.25,0.703569,0.793368,1.390434
35.30,0.703569,0.793368,1.390434
35.35,0.703569,0.793368,1.390434
35.40,0.703569,0.793368,1.390434
35.45,0.703569,0.793368,1.390434
35.50,0.703569,0.793368,1.390434
35.55,0.703569,0.793368,1.390434
35.60,1.055354,2.181761,3.823693
35.65,1.055354,2.181761,3.823693
35.70,6.332121,9.123727,12.513905
35.75,6.332121,9.123727,12.513905
35.80,13.191918,19.834190,26.070635
35.85,13.191918,19.834190,26.070635
35.90,12.840135,19.437506,25.375420
35.95,12.840135,19.437506,25.375420
36.00,10.553535,19.834190,24.332592
36.05,10.553535,19.834190,24.332592
36.10,17.237440,26.379473,21.899334
36.15,17.237440,26.379473,21.899334
